Tarih,Gün,Saat,Sınav,Yer
9.12.2024,Pazartesi,10:00-12:00,Fizik I (TBD I),Z-11
12.12.2024,Perşembe,10:00-12:00,BII.Müh.Giriş Veri Yapıları,Seminer Salonu Seminer Salonu
12.12.2024,Perşembe,13:30-15:00,Diferansiyel Denklemler Sistem Programlama,Seminer Salonu Seminer Salonu
12.12.2024,Perşembe,15:00-17:00,Bilgisayar Ağları Programlama Dilleri,Seminer Salonu Seminer Salonu
12.12.2024,Perşembe,17:00-19:00,BII.Müh.Özel Konular I,Seminer Salonu
13.12.2024,Cuma,10:00-12:00,Ayrık Matematik Java-I,Seminer Salonu Seminer Salonu
13.12.2024,Cuma,13:30-15:00,Sayısal Denetim I Kriptografiye Giriş Yazılım Mühendisliği,Seminer Salonu Seminer Salonu
13.12.2024,Cuma,15:00-17:00,Web Programlama Lab.,Seminer Salonu
13.12.2024,Cuma,17:00-19:00,Proje Tasarımı,Seminer Salonu
